
========== REPORT ==========
[OK] Totals | Stores=32 | Categories=112 | Unique=23846 | New=0 | Restored=5 | Removed=186 | PriceChanges=44 | Runtime=  2688s

FAILED CATEGORIES (13)
  ✗ Gull Liquor | Whisky
  https://clbspirits.com/products/a-prideful-goat-6-year-old-cask-str-rye
- CLB Spirits | Whisky                          | Punjabi Club Rye Whisky 1750Ml 815376  $68.44
  https://clbspirits.com/products/punjabi-club-rye-whisky-1750ml
- CLB Spirits | Whisky                          | Rampur Asava Gift Pack with 2 Glasses 750ml 882851  $94.99
  https://clbspirits.com/products/rampur-asava-giftset-glasses
- CLB Spirits | Whisky                          | Rampur Double Cask Gift Pack with 2 Glasses 750ml 882850  $94.99 (Available at BSW)
  https://clbspirits.com/products/rampur-double-cask-giftset-glasses
- CLB Spirits | Whisky                          | Rampur Select Indian Single Malt Whisky 750ml 882849  $140.48 (Available at Craft Cellars)
  https://clbspirits.com/products/rampur-select-indian-single-malt-whisky
- CLB Spirits | Whisky                          | Redbreast 21 Year Old 750ml 775252  $325.04 (Available at Liberty Wine Merchants)
  https://clbspirits.com/products/redbreast-21-year-old
- CLB Spirits | Whisky                          | Remus Gatsby Reserve 15 Year Old 49.05 2023 892727  $264.80
  https://clbspirits.com/products/remus-gatsby-reserve-2023
- CLB Spirits | Whisky                          | Rossville Union Master Crafted Rye 894139  $84.40
  https://clbspirits.com/products/rossville-union-master-crafted-rye
- CLB Spirits | Whisky                          | Royal Ranthambore Whisky 872652  $51.89 (Available at BSW)
  https://clbspirits.com/products/royal-ranthambore-whisky
- CLB Spirits | Whisky                          | Sakurao Single Malt Sherry Whisky 102468  $114.52 (Available at Craft Cellars)
  https://clbspirits.com/products/sakurao-single-malt-sherry-whisky
- CLB Spirits | Whisky                          | Scapa Skiren 750ml 776658  $70.27
  https://clbspirits.com/products/scapa-skiren-1
- CLB Spirits | Whisky                          | Senba Premium Japanese Whisky 102084  $60.14 (Available at Wine and Beyond)
  https://clbspirits.com/products/senba-premium-japanese-whisky
- CLB Spirits | Whisky                          | Shelter Point 10 Yo Single Malt 750ml 892966  $104.05 (Available at Sherbrooke Liquor)
  https://clbspirits.com/products/shelter-point-10-yo-single-malt
- CLB Spirits | Whisky                          | Signatory Unnamed Orkney 13 Year Old 2009 46 700ml 802689  $109.45 (Available at BSW)
  https://clbspirits.com/products/unnamed-orkney-signatory-46
- CLB Spirits | Whisky                          | Single Malt Chorus Ii 876834  $56.50
  https://clbspirits.com/products/single-malt-chorus-ii
- CLB Spirits | Whisky                          | Slyrs Single Malt Amontillado Cask 897369  $129.78
  https://clbspirits.com/products/slyrs-single-malt-amontillado-cask
- CLB Spirits | Whisky                          | Starlight Carl T. Single B Honey Fin Bou 878023  $112.06
  https://clbspirits.com/products/starlight-carl-t-single-b-honey-fin-bou
- CLB Spirits | Whisky                          | Taconic Founders Rye Whiskey 750ml 853890  $40.39
  https://clbspirits.com/products/taconic-founders-rye-whiskey
- CLB Spirits | Whisky                          | Tamnavulin Sherry Cask Single Malt Whisky 40 700ml 832056  $57.38 (Available at BSW)
  https://clbspirits.com/products/tamnavulin-sherry-cask
- CLB Spirits | Whisky                          | Tbwc Balblair 11Yo B3 894482  $96.48
  https://clbspirits.com/products/tbwc-balblair-11yo-b3
- CLB Spirits | Whisky                          | Tbwc Millstone 4Yo Batch 8 897279  $80.87
  https://clbspirits.com/products/tbwc-millstone-4yo-batch-8
- CLB Spirits | Whisky                          | Tbwc Millstone B6 9Yo 888213  $93.30
  https://clbspirits.com/products/tbwc-millstone-b6-9yo
- CLB Spirits | Whisky                          | Tbwc Ncnean 5 Year Old Batch 4 894484  $110.87 (Available at Kensington Wine Market)
  https://clbspirits.com/products/tbwc-ncnean-5-year-old-batch-4
- CLB Spirits | Whisky                          | Tbwc Speyside 4 25 Year Old Batch 13 894490  $107.23 (Available at Malts & Grains)
  https://clbspirits.com/products/tbwc-speyside-4-25-year-old-batch-13
- CLB Spirits | Whisky                          | Tbwc Speyside 7 9 Year Old Batch 1 894492  $67.67
  https://clbspirits.com/products/tbwc-speyside-7-9-year-old-batch-1
- CLB Spirits | Whisky                          | Tbwc Willowbank B2 4Yo 873966  $89.80
  https://clbspirits.com/products/tbwc-willowbank-b2-4yo
- CLB Spirits | Whisky                          | The Dalmore 12 Year Old Sherry Cask Select 700ml 841179  $134.88
  https://clbspirits.com/products/dalmore-12-year-old-sherry-cask
- CLB Spirits | Whisky                          | The GlenDronach 2011 10 Year Old PX Cask 700ml 834367  $96.26 (Available at Silver Springs Liquor)
  https://clbspirits.com/products/glendronach-10-year-old-2009-vintage-px-cask
- CLB Spirits | Whisky                          | The Glenlivet 15 Year Old French Oak 750ml 716552  $86.80 (Available at Sierra Springs)
  https://clbspirits.com/products/glenlivet-15-year-old-french-oak-reserve
- CLB Spirits | Whisky                          | The Irishman 17 Year Old 700ml 831266  $161.08
  https://clbspirits.com/products/the-irishman-17-year-old
- CLB Spirits | Whisky                          | The Kurayoshi 12 Year Old Pure Malt 700ml 829251  $114.29
  https://clbspirits.com/products/matsui-pure-malt-whisky-kurayoshi-12-yr
- CLB Spirits | Whisky                          | The Mattie Gladden Private Barrel 852181  $88.37
  https://clbspirits.com/products/the-mattie-gladden-private-barrel
- CLB Spirits | Whisky                          | The Whisky Agency Ledaig 2009 13 Year Old 52.3 700ml 893877  $227.11
  https://clbspirits.com/products/ledaig-2009
- CLB Spirits | Whisky                          | Three Chamber Rye Whiskey 868327  $266.70
  https://clbspirits.com/products/three-chamber-rye-whiskey
- CLB Spirits | Whisky                          | Tomatin 2001 10th Anniversary 700ml 875677  $436.09
  https://clbspirits.com/products/tomatin-2001-10th-anniversary
- CLB Spirits | Whisky                          | Tomatin Decades II 46 ABV 700ml 864077  $270.47
  https://clbspirits.com/products/tomatin-decades-ii
- CLB Spirits | Whisky                          | Two Brewers Peated Single Malt Release 38 43 ABV 750ml 887302  $92.64
  https://clbspirits.com/products/yukon-single-malt-two-brewers-release-38
- CLB Spirits | Whisky                          | Two Brewers Yukon Single Malt Release 39 750ml 887303  $93.02
  https://clbspirits.com/products/yukon-single-malt-two-brewers-release-39
- CLB Spirits | Whisky                          | Two Brewers Yukon Single Malt Release 41 750ml 895366  $92.64
  https://clbspirits.com/products/yukon-single-malt-two-brewers-release-41
- CLB Spirits | Whisky                          | Two Stacks Blenders Cut Batch 2 700ml 882161  $66.54 (Available at Vine Arts)
  https://clbspirits.com/products/two-stacks-blenders-cut-batch-2
- CLB Spirits | Whisky                          | Virgil Kaine Chef Series Cherry 889063  $58.14
  https://clbspirits.com/products/virgil-kaine-chef-series-cherry
- CLB Spirits | Whisky                          | Virgil Kaine Chef Series Ginger 889061  $58.14
  https://clbspirits.com/products/virgil-kaine-chef-series-ginger
- CLB Spirits | Whisky                          | Washington Wheat Whiskey 779350  $64.79 (Available at Liberty Wine Merchants)
  https://clbspirits.com/products/washington-wheat-whiskey
- CLB Spirits | Whisky                          | WdoConnell Irish Whisky 10Yr Batch 03 877174  $46.66
  https://clbspirits.com/products/wdoconnell-irish-whisky-10yr-batch-03
- CLB Spirits | Whisky                          | Whisky Sponge Edition No.62 Glen Keith 1993 28 Year Old 51.9 ABV 700ml 879261  $449.47
  https://clbspirits.com/products/whisky-sponge-glen-keith-27yr
- CLB Spirits | Whisky                          | Whisky Sponge Edition No.66 Caol Ila 12 Year Old 56.3 ABV 700ml 879270  $229.28
  https://clbspirits.com/products/whisky-sponge-caol-ila-2009-12yr-56-3
- CLB Spirits | Whisky                          | Whistler 10Yr French Oak Finish 895074  $85.46 (Available at Wine and Beyond)
  https://clbspirits.com/products/whistler-10yr-french-oak-finish
- CLB Spirits | Whisky                          | Whistler Double Oaked 895072  $41.86 (Available at Wine and Beyond)
  https://clbspirits.com/products/whistler-double-oaked
- CLB Spirits | Whisky                          | Whistler Marsala Cask 895075  $52.08 (Available at Wine and Beyond)
  https://clbspirits.com/products/whistler-marsala-cask
- CLB Spirits | Whisky                          | Whistler Oloroso Sherry Cask 895073  $51.68 (Available at Wine and Beyond)
  https://clbspirits.com/products/whistler-oloroso-sherry-cask
- CLB Spirits | Whisky                          | Whistler The Good The Bad And The Smoky 895076  $61.78 (Available at Wine and Beyond)
  https://clbspirits.com/products/whistler-the-good-the-bad-and-the-smoky
- CLB Spirits | Whisky                          | Windsor Canadian Rye Whisky 236992  $52.46 (Available at Lime Liquor)
  https://clbspirits.com/products/windsor-canadian-rye-whisky
- CLB Spirits | Whisky                          | Woody Creek Rye Whiskey 854585  $69.89 (Available at Sherbrooke Liquor)
  https://clbspirits.com/products/woody-creek-rye-whiskey
- CLB Spirits | Whisky                          | Writers Tears Copper Pot Gift Pack With Hip Flask 750ml 753776  $56.99
  https://clbspirits.com/products/writers-tears-gift-pack
- CLB Spirits | Whisky                          | Yellowstone Bourbon Limited Edition 2023 750ml 892728  $360.78
  https://clbspirits.com/products/yellowstone-limited-edition-2023
- Kensington Wine Market | Scotch               | True Wild Ropers Hold 6 Year Bourbon 142228  $91.99 (Available at Sherbrooke Liquor)
  https://kensingtonwinemarket.com/product/142228/true-wild-roper-s-hold-6-year-bourbon
- Liberty Wine Merchants | Gin                  | Copperpenny Lost Horizon Rare Tea Gin 284632  $46.99
  https://www.libertywinemerchants.com/product/284632/
- Liberty Wine Merchants | Whisky               | Weller Antique 107 Bourbon  $279.99
  https://www.libertywinemerchants.com/product/8289712/
- New District | Whiskey                        | CROWN ROYAL VANILLA 265165  $32.49 (Available at BCL)
  https://shop.newdistrict.ca/products/5308599-crown-royal-vanilla
- Tudor House | Gin                             | WHITLEY NEILL - RHUBARB & GINGER GIN 180693  $53.99 (Available at ZYN The Wine Market)
  https://www.tudorhouseliquorstore.com/TUDOR_HOUSE_0/product/spirits/gin/whitley-rhubarb-ging-ml-350
- Tudor House | Scotch Selections               | ABERFELDY - 12 YEAR OLD 773002  $69.99 (Available at Highlander Wine & Spirits)
  https://www.tudorhouseliquorstore.com/TUDOR_HOUSE_0/product/spirits/scotch-selections/aberfeldy-12-year-ml-420
- Tudor House | Whiskey / Scotch                | Canadian Club Whisky 1.75L 034637  $54.49 (Available at Vessel Liquor)
  https://www.tudorhouseliquorstore.com/TUDOR_HOUSE_0/product/spirits/whiskey-scotch/canadian-club-l-380?variant=34637
- Tudor House | Whiskey / Scotch                | Laird Of Fintry Blac 081305  $124.99
  https://www.tudorhouseliquorstore.com/TUDOR_HOUSE_0/product/spirits/whiskey-scotch/laird-of-fintry-blac-ml-380
- Vessel Liquor | Whisky                        | Nikka - From the Barrel Whisky 546366  $69.99 (Available at Sierra Springs)
  https://vesselliquor.com/products/nikka-from-the-barrel-whisky-04904230100683
- Vessel Liquor | Whisky                        | SHIN Group - Eigashima Serene Whisky 531222  $69.99 (Available at BSW)
  https://vesselliquor.com/products/shin-group-eigashima-serene-whisky
- Whisky Drop | Rum                             | Drinks by the Dram (DBTD) The Rum Mini Advent Calendar (12 x 30 mL) 113956  $125.00
  https://www.whiskydrop.ca/products/dbtd-the-rum-mini-advent-calendar
- Whisky Drop | Whisky                          | Bunnahabhain 12 Year Old Cask Strength 134183  $150.00 (Available at BSW)
  https://www.whiskydrop.ca/products/bunnahabhain-12-year-old-cask-strength
- Whisky Drop | Whisky                          | Wayne Gretzky Four Grain Whisky 125059  $67.50 (Available at BSW)
  https://www.whiskydrop.ca/products/wayne-gretzky-four-grain-whisky
- Willow Park | Gin                             | Holyrood Height Of Arrows Gin 877100  $65.49 (Available at CLB Spirits)
  https://www.willowpark.net/products/height-of-arrows-gin-877100
- ZYN The Wine Market | Whisky                  | Michters 10 Year Old Kentucky Straight Bourbon 764183  $356.00
  https://zyn.ca/products/not-for-sale-michters-10-year-old-bourbon
- ZYN The Wine Market | Whisky                  | Michters Bombergers Declaration Straight Bourbon - 2021 Release 808743  $305.00
  https://zyn.ca/products/michters-bombergers-declaration-straight-bourbon-2021-release

PRICE CHANGES (44)
~ BSW | Scotch Whisky                           | Aberfeldy 12 Year Old 840932  $57.99 -> $59.99 (Cheaper at Highlander Wine & Spirits)
  https://www.bswliquor.com/products/aberfeldy-12-year-old
~ BSW | Scotch Whisky                           | Aberfeldy 21 Year Old 852543  $115.00 -> $119.99 (Cheaper at Sierra Springs)
  https://www.bswliquor.com/products/aberfeldy-21-year-old-1
~ BSW | Scotch Whisky                           | Auchentoshan American Oak 762653  $54.99 -> $47.99 [13% Off]
  https://www.bswliquor.com/products/auchentoshan-american-oak-1
~ BSW | Scotch Whisky                           | Bowmore 12 Year Old Sherry Oak Cask 115490  $77.99 -> $64.99 [17% Off]
  https://www.bswliquor.com/products/bowmore-12-year-old-sherry-oak
~ BSW | Scotch Whisky                           | Craigellachie 13 Year Old 864533  $57.99 -> $59.99 (Cheaper at Craft Cellars)
  https://www.bswliquor.com/products/craigellachie-13-year-old
~ BSW | Scotch Whisky                           | Craigellachie 17 Year Old 864257  $115.00 -> $120.00 (Cheaper at Craft Cellars)
  https://www.bswliquor.com/products/craigellachie-17-year-old
~ BSW | Scotch Whisky                           | Dewar's 27 Year Old Double Double 375ml 881613  $81.99 -> $120.00 (Cheaper at BCL)
  https://www.bswliquor.com/products/dewars-27-year-old-double-double-1
~ BSW | Scotch Whisky                           | Dewar's 32 Year Old Double Double 375ml 881614  $115.00 -> $160.00 (Cheaper at BCL)
  https://www.bswliquor.com/products/dewars-32-year-old-double-double-1
~ BSW | Scotch Whisky                           | Glenmorangie 'The Original' 12 Year Old 114799  $53.99 -> $54.99 (Cheaper at Craft Cellars)
  https://www.bswliquor.com/products/glenmorangie-12-yr-old
~ BSW | Scotch Whisky                           | Gordon & MacPhail Distillery Labels Mortlach 25 Year Old 887611  $375.00 -> $300.00 [20% Off] (Cheaper at Silver Springs Liquor)
  https://www.bswliquor.com/products/g-m-distillery-label-mortlach-25-year
~ BSW | Scotch Whisky                           | Laphroaig 10 Year Old 739119  $64.99 -> $77.99 (Cheaper at Sierra Springs)
  https://www.bswliquor.com/products/laphroaig-10-year-old-1
~ BSW | Scotch Whisky                           | Royal Brackla 25 Year Old 146362  $265.00 -> $250.00 [6% Off]
  https://www.bswliquor.com/products/royal-brackla-25-year-old
~ BSW | Whisky                                  | Basil Hayden's Toasted Barrel Bourbon 848313  $52.99 -> $64.99 (Cheaper at Craft Cellars)
  https://www.bswliquor.com/products/basil-haydens-toasted-barrell
~ BSW | Whisky                                  | Gibson's Finest 'Venerable' 18 Year Old Whisky 469114  $74.99 -> $56.99 [24% Off] (Cheaper at Highlander Wine & Spirits)
  https://www.bswliquor.com/products/gibsons-18-year-old-the-venerable
~ BSW | Whisky                                  | High West Bourbon Whiskey 775901  $47.99 -> $39.99 [17% Off]
  https://www.bswliquor.com/products/high-west-american-prairie-bourbon-1
~ BSW | Whisky                                  | High West Campfire Whiskey 752086  $84.99 -> $69.99 [18% Off]
  https://www.bswliquor.com/products/high-west-campfire
~ Co-op World of Whisky | Bourbon Whiskey       | Buffalo Trace Kentucky Bourbon  $41.99 -> $44.99 (Cheaper at Liquorama)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/2610404-buffalo-trace-whiskey-kentucky-straight-bourbon-750-ml
~ Co-op World of Whisky | Canadian Whisky       | Crown Royal Whisky  $34.99 -> $32.99 [6% Off] (Cheaper at Gull Liquor)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/104499773-crown-royal-whisky-750-ml
~ Co-op World of Whisky | Canadian Whisky       | Crown Royal Whisky  $52.99 -> $49.99 [6% Off] (Cheaper at Wine and Beyond)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/110806886-crown-royal-whisky
~ Co-op World of Whisky | Gin                   | Cal & Gary’s Gin  $22.99 -> $24.99
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/110808717-cal-garys-gin
~ Co-op World of Whisky | Rum                   | El Dorado 12 yr Rum  $39.99 -> $42.99 (Cheaper at Willow Park)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/24445276-el-dorado-12-year-old-rum-750-ml
~ Co-op World of Whisky | Scottish Single Malts | Aberlour 12 yr Double Cask  $89.99 -> $79.99 [11% Off] (Cheaper at CLB Spirits)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/110810209-aberlour-12-yr-double-cask
~ Co-op World of Whisky | Scottish Single Malts | Auchentoshan American Oak Whisky  $64.99 -> $54.99 [15% Off] (Cheaper at BSW)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/110808187-auchentoshan-american-oak-whisky
~ Co-op World of Whisky | Scottish Single Malts | Glenfiddich 14 yr Bourbon Barrel Reserve Whisky  $79.99 -> $69.99 [13% Off] (Cheaper at Sierra Springs)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/3055786-glenfiddich-14-yr-single-malt-scotch-750-ml
~ Co-op World of Whisky | Scottish Single Malts | Glenfiddich 18 Yr  $189.99 -> $159.99 [16% Off]
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/64275149-glenfiddch-18y-750ml-glenfiddch-18y-750ml
~ Co-op World of Whisky | Scottish Single Malts | Laphroaig Select Whisky  $69.99 -> $59.99 [14% Off] (Cheaper at BSW)
  https://shoponlinewhisky-wine.coopwinespiritsbeer.com/store/world-of-whisky/products/110807983-laphroaig-select-whisky
~ Liberty Wine Merchants | Gin                  | Noosh Marand Persian Saffron Gin 258737  $69.99 -> $72.99 (Cheaper at Gull Liquor)
  https://www.libertywinemerchants.com/product/258737/
~ Sierra Springs | American Whiskey             | BASIL HAYDEN’S TOASTED BARREL 848313  $50.99 -> $61.80 (Cheaper at Craft Cellars)
  https://sierraspringsliquor.ca/shop/american-whiskey/bourbon/basil-hayden-toasted-barrel-bourbon-40-abv/
~ Sierra Springs | American Whiskey             | RABBIT HOLE CAVEHILL 861501  $68.99 -> $76.09 (Cheaper at CLB Spirits)
  https://sierraspringsliquor.ca/shop/american-whiskey/bourbon/rabbit-hole-cavehill-47-5-abv/
~ Sierra Springs | Canadian Whiskey             | Gibson?s Sterling Edition 1.14L 40% 215889  $38.99 -> $40.99 (Cheaper at CLB Spirits)
  https://sierraspringsliquor.ca/shop/canadian-whiskey/gibsons-sterling-edition-1-14l-40/
~ Sierra Springs | Gin                          | Malfy Gin Rosa 750ml 41% 802167  $41.99 -> $47.51
  https://sierraspringsliquor.ca/shop/spirits/gin/malfy-gin-rosa-750ml-41/
~ Sierra Springs | Scotch Whisky / Single Malt  | BALBLAIR 15 YO | 750ML 822537  $97.99 -> $128.99 (Cheaper at BSW)
  https://sierraspringsliquor.ca/shop/scotch-whisky-single-malt/highlands/balblair-15-yo-750ml/
~ Sierra Springs | Scotch Whisky / Single Malt  | CRAIGELLACHIE 13 YEAR OLD 750ML 46% 864533  $55.99 -> $65.99 (Cheaper at Craft Cellars)
  https://sierraspringsliquor.ca/shop/scotch-whisky-single-malt/speyside/craigellachie-13-year-old-46v/
~ Sierra Springs | Scotch Whisky / Single Malt  | LAPHROAIG QUARTER CASK 48% | 750ML 724396  $72.99 -> $79.99 (Cheaper at Gull Liquor)
  https://sierraspringsliquor.ca/shop/scotch-whisky-single-malt/islay/laphroaig-quarter-cask-whisky-48-abv/
~ Sierra Springs | Spirits                      | ALBERTA PURE VODKA PET 750ML 001073  $19.99 -> $21.50
  https://sierraspringsliquor.ca/shop/spirits/vodka-spirits/alberta-pure-vodka-pet-750ml/
~ Sierra Springs | Spirits                      | Malfy Gin Rosa 750ml 41% 802167  $41.99 -> $47.51
  https://sierraspringsliquor.ca/shop/spirits/gin/malfy-gin-rosa-750ml-41/
~ Sierra Springs | World Whisky                 | INDRI SINGLE MALT INDIAN WHISKY 881610  $65.99 -> $78.99 (Cheaper at Malts & Grains)
  https://sierraspringsliquor.ca/shop/world-whisky/indian/indri-single-malt/
~ Willow Park | Gin                             | Beefeater London Dry Gin 750ml 000570  $30.49 -> $30.99 (Cheaper at Gull Liquor)
  https://www.willowpark.net/products/aglc-beefeater-london-dry-570
~ Willow Park | Gin                             | Dillon's Gin Variety Pack - 12x355mL 865872  $32.99 -> $33.99 (Cheaper at Everything Wine)
  https://www.willowpark.net/products/dillons-gin-variety-pack
~ Willow Park | Scotch                          | Arran Port Cask Finish Single Malt Scotch Whisky 715574  $83.99 -> $82.99 [1% Off] (Cheaper at BSW)
  https://www.willowpark.net/products/aglc-arran-port-cask-finish-715574
~ Willow Park | Scotch                          | Arran Quarter Cask 'The Bothy' Single Malt Scotch Whisky 778187  $82.99 -> $81.99 [1% Off] (Cheaper at BSW)
  https://www.willowpark.net/products/aglc-arran-malt-quarter-cask-bothy-778187
~ Willow Park | Scotch                          | Glenlivet 12 Year Old Single Malt Scotch Whisky 021097  $72.49 -> $72.99 (Cheaper at Wine and Beyond)
  https://www.willowpark.net/products/glenlivet-12yr-old
~ Willow Park | Scotch                          | Jameson 'Black Barrel' Irish Whisky 750014  $65.49 -> $65.99 (Cheaper at CLB Spirits)
  https://www.willowpark.net/products/connect-logistics-jameson-black-barrel-750014
~ Willow Park | Scotch                          | Lagg Single Malt 'Corriecravie' Edition 100661  $90.99 -> $89.49 [2% Off] (Cheaper at CLB Spirits)
  https://www.willowpark.net/products/lagg-single-malt-corriecravie-ed

======== END REPORT ========
